id_property,url,name,hotel_class,class_source,recommended_stay,description,address,rating,reviews,staff,reason_to_choose,amenities,facilities,cleanliness,comfort,value,location,free_wifi,insert_time
276,https://www.booking.com/hotel/de/innsidepremiumhotel.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=62030;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788282;srpvid=cd946c5c487002e9;type=total;ucfs=1&#hotelTmpl,"DoubleTree by Hilton Frankfurt Niederrad",4,assessed,,"This hotel offers modern studios with free internet access, free Sky TV channels and a gym. It lies in Frankfurt's Niederrad district, a 20-minute journey from the city centre.The air-conditioned studios of the DoubleTree by Hilton Frankfurt Niederrad hotel feature a designer bathroom and flat-screen TV.International cuisine is served at the Hernies restaurant with terrace. Guests are welcome to relax with a drink in the DoubleTree by Hilton Frankfurt Niederrad´s stylish bar.The nearest tram stop is 500 m from the hotel. Niederrad S-Bahn train station is a 10-minute walk away. ","Herriotstr. 2, Niederrad, 60528 Frankfurt/Main, Germany",7,143,8.1,"Booking is safeManage your bookings onlineThe staff speak English","Parking,Free WiFi,Pets allowed,Non-smoking rooms,Fitness centre,Restaurant,Tea/coffee maker in all rooms,Bar,Sun terrace,Terrace,Fruits,Wine/champagne,Special diet menus (on request),Breakfast in the room,Bar,Restaurant,Accessible parking,Street parking,Secured parking,Invoice provided,Lockers,Private check-in/check-out,Concierge service,Luggage storage,Tour desk,Express check-in/check-out,24-hour front desk,Daily housekeeping,Dry cleaning,Laundry,Fax/photocopying,Business centre,Meeting/banquet facilities,Fire extinguishers,Smoke alarms,Security alarm,Key card access,24-hour security,Safety deposit box,Minimarket on site,Vending machine (snacks),Vending machine (drinks),Air conditioning,Non-smoking throughout,Allergy-free room,Heating,Packed lunches,Soundproof rooms,Lift,Facilities for disabled guests,Non-smoking rooms,Emergency cord in bathroom,Lower bathroom sink,Higher level toilet,Toilet with grab rails,Wheelchair accessible,Fitness/spa locker rooms,Fitness,Fitness centre,Bosnian,German,English,Spanish,French,Croatian,",7.5,7.9,8,7.1,7.6,7.5,"2022-06-22 17:02:31"
277,https://www.booking.com/hotel/de/motelonefrankniederrand.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=distance_from_search;srepoch=1654788477;srpvid=7c9c6cbec69b02c5;type=total;ucfs=1&#hotelTmpl,"Motel One Frankfurt Airport",3,website,,"This design hotel lies in the Niederrad district of Frankfurt, directly between the city center and Frankfurt Airport. It offers modern rooms, private parking, free Wi-Fi and is near the A5 motorway.All rooms at the Motel One Frankfurt Airport hotel offer air-conditioning and include a work desk, a flat-screen TV and an private bathroom.The spacious One Lounge is a breakfast café, lobby and bar. Snacks and drinks are available here 24 hours a day. The lounge features designer furniture.Motel One is a 20-minute walk from the Niederrad S-Bahn (city rail) station. This offers a connection to the Frankfurter Messe trade fair. Goldstein bus stop is just 650 feet away. ","Colmarer Straße 2, Niederrad, 60528 Frankfurt, Germany",8.5,1148,9.2,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Pet friendly,Non-smoking rooms,Facilities for disabled guests,24-hour front desk,Bar,Terrace,Bar,Daily housekeeping,Shared lounge/TV area,Baggage storage,Express check-in/out,24-hour front desk,Fire extinguishers,CCTV in common areas,Smoke alarms,Key card access,Smoke-free property,Heating,Soundproof rooms,Elevator,Facilities for disabled guests,Non-smoking rooms,German,English,",8.7,9.2,8.8,8.7,7.9,8.4,"2022-06-22 18:34:25"
278,https://www.booking.com/hotel/pl/premium-hostel.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=87267;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788638;srpvid=e7ee6d0e86c30083;type=total;ucfs=1&#hotelTmpl,"Premium Hostel",NULL,NULL,"Airport shuttle","You're eligible for a Genius discount at Premium Hostel! To save at this property, all you have to do is .Close to Cracow's old town, Premium Hostel combines the quality and service of a hotel with hostel prices, including free internet access.Premium Hostel offers a variety of room options to cater to your traveling needs. Each one is cheerfully decorated, comfortably furnished and equipped with a private bathroom.Throughout your stay you can also make full use of Premium Hostel's fully supplied, communal kitchen. Breakfast can be requested at an extra charge. There is also a pleasant lounge area at the property.Its close proximity to Cracow's old town combined with great-value accommodations makes Premium Hostel an ideal base for your stay. ","Pomorska 2, Krowodrza, 30-039 Krakow, Poland",8.4,4479,9,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Airport shuttle,Non-smoking rooms,24-hour front desk,Elevator,Shared kitchen,Street parking,Shared lounge/TV area,Lockers,Airport shuttle (additional charge),Vending machine (drinks),Baggage storage,24-hour front desk,Board games/Puzzles,Fire extinguishers,CCTV in common areas,Smoke alarms,24-hour security,Safe,Smoke-free property,Heating,Elevator,Non-smoking rooms,English,Polish,",8.4,8.8,8.4,8.9,8.9,8.1,"2022-06-22 18:34:32"
279,https://www.booking.com/hotel/de/steps.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=62773;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788727;srpvid=3fea6d3b880c01bc;type=total;ucfs=1&#hotelTmpl,Steps-Hotel,1,website,,"You're eligible for a Genius discount at Steps-Hotel! To save at this property, all you have to do is .This budget hotel in Berlin's Wedding district offers free Wi-Fi and great transport links. The Kurfürstendamm shopping street is 15 minutes away by underground.The privately run Steps-Hotel has rooms and apartments with modern, functional furniture. A small beer garden is located in the courtyard.Free Wi-Fi is available in the entire hotel. The reception and bar are open 24 hours a day.The Nauener Platz and Seestraße U-Bahn (underground) stations are 5-10 minutes away on foot. They offer direct links to sights including Checkpoint Charlie. ","Liebenwalder Straße 22, Mitte, 13347 Berlin, Germany",7.8,1169,9.2,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Family rooms,Non-smoking rooms,24-hour front desk,Bar,Outdoor furniture,Sun deck,Garden,Ping-pong,Coffee house on site,Kid-friendly buffet,Special diet meals (on request),Bar,Street parking,Secure parking,Baggage storage,Tour desk,Express check-in/out,24-hour front desk,Invoice provided,Board games/Puzzles,Fire extinguishers,CCTV outside property,CCTV in common areas,Smoke alarms,Security alarm,Key card access,Key access,Safe,Designated smoking area,Smoke-free property,Heating,Family rooms,Non-smoking rooms,German,English,Spanish,Italian,Russian,",7.3,8.4,7.6,8.5,8,8.3,"2022-06-22 18:34:37"
280,https://www.booking.com/hotel/de/b-b-stuttgart-city.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=241644;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788864;srpvid=cb806d7fc79f0364;type=total;ucfs=1&#hotelTmpl,"B&B Hotel Stuttgart-City",3,website,,"This non-smoking hotel is located in the Feuerbach district, north of central Stuttgart. It offers modern rooms with free Wi-Fi internet. On-site parking is free.The soundproofed rooms of the B&B Hotel Stuttgart-City feature air conditioning, satellite TV, a work desk and a private bathroom.A breakfast buffet is available each morning at the Stuttgart B&B Hotel. A drink and snack machine is available 24 hours a day.The B&B Stuttgart City is a short walk from Maybachstraße subway station and Feuerbach City train station. Stuttgart Main Station is a 6 minute train ride away. ","Siemensstr. 58, 70469 Stuttgart, Germany",8,1148,8.5,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Pet friendly,Family rooms,Non-smoking rooms,Heating,Vending machine (snacks),Vending machine (drinks),Express check-in/out,Air conditioning,Heating,Soundproof rooms,Elevator,Family rooms,Non-smoking rooms,German,English,",7.9,8.4,8.1,8.5,7.9,8.5,"2022-06-22 18:34:43"
281,https://www.booking.com/hotel/de/days-inn-berlin-west.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=66925;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788595;srpvid=b7cb6cf9f67201ce;type=total;ucfs=1&#hotelTmpl,"Good Morning Berlin City West",2,website,,"This hotel offers soundproofed rooms with flat-screen TV and a 24-hour reception. It is located on a quiet side street.The modern rooms at the Good Morning Berlin City West include a double bed, desk and a private bathroom with hairdryer. Wi-Fi internet access is available.A German-style breakfast buffet is served each morning. Good Morning Berlin City West also has a lobby lounge with a large TV. Restaurants, cafés and shops are within walking distance.Kurt-Schumacher-Platz bus and underground stop is 1,950 feet from the hotel. Services run to the Friedrichstraße shopping street and the Unter den Linden Boulevard in 20 minutes. ","Kögelstr. 12-13, Reinickendorf, 13403 Berlin, Germany",6.8,1243,8.4,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Pet friendly,Non-smoking rooms,24-hour front desk,Elevator,Street parking,Daily housekeeping,Vending machine (snacks),Vending machine (drinks),Baggage storage,Fax/Photocopying,24-hour front desk,Invoice provided,Fire extinguishers,Smoke alarms,Smoke-free property,Heating,Elevator,Non-smoking rooms,German,English,",6.6,7.2,6.9,7.2,7.6,6.9,"2022-06-22 18:34:45"
282,https://www.booking.com/hotel/de/kempinskibristolberlin.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=60664;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654789466;srpvid=13376eac86920057;type=total;ucfs=1&#hotelTmpl,"Hotel Bristol Berlin",5,website,"Airport shuttle","You're eligible for a Genius discount at Hotel Bristol Berlin! To save at this property, all you have to do is .Hotel Bristol Berlin is a vibrant, legendary hotel located directly on the famous Kurfürstendamm boulevard, opening its doors in 1952. The hotel offers complimentary WiFi throughout the premises and there is a nearby underground parking garage.The hotel's rooms and suites are spread across several main floors plus an 11-story tower. All rooms are a stylistic mix of classic and modern with tiltable and soundproof windows. The hotel is now 100% nonsmoking.The wellness area in Roman-Greek style has a heated 50 feet pool, sauna, infrared cabin and steam room with a cold water plunge pool.Enjoy the best seasonal martinis at the Bristol Bar, or cozy up at the Bristol Café. And you will still have legendary Crêpes Suzettes flambéed at your table at the well-loved Bristol Grill, which serves traditional German-French cuisine with the occasional modern twist.Nearby attractions include the Kaiser Wilhelm Memorial Church, Savigny Square, Theater des Westens, the BIKINI Berlin concept mall and The Story of Berlin interactive museum. Attractions for families includes the nearby zoo and aquarium, and the Tiergarten, Berlin's largest park, is just a 10-minute walk from the Hotel Bristol Berlin. ","Kurfürstendamm 27, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany",8,3248,8.7,"Booking is safeManage your bookings onlineThe staff speaks English","1 swimming pool,Parking,Free WiFi,Spa,Family rooms,Pet friendly,Bar,Outdoor furniture,Terrace,Cooking class,Bike tours,Walking tours,Coffee house on site,Fruit,Wine/Champagne,Kids' meals,Special diet meals (on request),Breakfast in the room,Bar,Restaurant,Parking garage,Airport drop-off,Airport pickup,Public transit tickets,Invoice provided,Private check-in/out,Concierge,ATM on site,Baggage storage,Tour desk,Currency exchange,Express check-in/out,24-hour front desk,Babysitting/Child services,Daily housekeeping,Suit press,Dry cleaning,Laundry,Fax/Photocopying,Business center,Meeting/Banquet facilities,Fire extinguishers,CCTV outside property,CCTV in common areas,Smoke alarms,Security alarm,Key card access,Safe,Pet bowls,Grocery deliveries,Airport shuttle (additional charge),Designated smoking area,Air conditioning,Smoke-free property,Heating,Car rental,Packed lunches,Soundproof rooms,Elevator,Family rooms,Non-smoking rooms,Room service,Locker rooms,Fitness,Spa lounge/Relaxation area,Steam room,Spa facilities,Turkish/Steam Bath,Spa,Fitness center,Sauna,German,English,Spanish,French,",7.6,8.3,8.3,7.8,9.4,8.6,"2022-06-22 18:34:46"
283,https://www.booking.com/hotel/de/nhfrankfurtniederrad.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=60589;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788544;srpvid=427b6cdfb6b10256;type=total;ucfs=1&#hotelTmpl,"NH Frankfurt Niederrad",4,website,,"You're eligible for a Genius discount at NH Frankfurt Niederrad! To save at this property, all you have to do is .Offering spacious rooms and international cuisine, this hotel is located in the Niederrad district of Frankfurt. Frankfurt Central Station is 1 stop away by S-Bahn Train. Free WiFi is available in all public areas and in the rooms at the 4-star NH Frankfurt Niederrad.Rooms include soundproofed windows, a mini-bar and satellite TV. Mediterranean meals and Frankfurt specialties are served in NH's restaurant and on the terrace.The elegant bar offers cocktails, international wines, local Apfelwein cider and beer made from local berries.Within a 2-minute walk are 2 supermarkets. Haardtwaldplatz Tram Stop is a 7-minute walk away, and Niederrad Train Station is a 10-minute walk away. Drivers are just 2 minutes from the A5 motorway. ","Lyoner Straße 5, Niederrad, 60528 Frankfurt, Germany",8.2,2248,8.9,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Pet friendly,Non-smoking rooms,Restaurant,24-hour front desk,Tea/Coffee Maker in All Rooms,Bar,Outdoor furniture,Terrace,Golf course (within 2 miles),Fruit,Wine/Champagne,Kid-friendly buffet,Kids' meals,Special diet meals (on request),Snack bar,Breakfast in the room,Bar,Restaurant,Accessible parking,Parking garage,Invoice provided,Private check-in/out,Baggage storage,Express check-in/out,24-hour front desk,Daily housekeeping,Ironing service,Dry cleaning,Laundry,Fax/Photocopying,Meeting/Banquet facilities,Fire extinguishers,CCTV in common areas,Smoke alarms,Security alarm,Key card access,Safe,Convenience store on site,Shared lounge/TV area,Air conditioning,Smoke-free property,Hypoallergenic room available,Heating,Packed lunches,Soundproof rooms,Elevator,Non-smoking rooms,Room service,German,English,",8.2,8.7,8.5,8.6,8,7.9,"2022-06-22 18:35:03"
284,https://www.booking.com/hotel/de/victors-residenz-hotels-berlin-tegel.html?aid=304142&label=gen173nr-1DCAso7AFCE21pbGxlbm5pdW0tYnJvYWR3YXlIM1gEaLUBiAEBmAExuAEXyAEM2AED6AEB-AECiAIBqAIDuAKcpPaUBsACAdICJGZhMzU0ZDY4LWY5ZjItNDc3Yi1hNTkzLTRiMTcxZjhkZThkOdgCBOACAQ&sid=4633db7cb631560c7cecd843a687be00&dest_id=61271;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1654788689;srpvid=a55c6d2852010a71;type=total;ucfs=1&#hotelTmpl,"Victor's Residenz-Hotel Berlin Tegel",3,website,,"In Berlin’s Reinickendorf district, this modern 3-star superior hotel is close to the A111 highway and public transportation, providing easy access to Tegel Airport and countless famous attractions.Victor's Residenz Hotel Berlin Tegel is a short walk from the Franz-Neumann-Platz Underground Station. From here, you will enjoy a fast link to all of the city’s most popular sights. These include the Alexanderplatz square, the Brandenburg Gate and the Museum Island.Guests at Victor's Residenz Hotel Berlin Tegel will have comfortably furnished rooms and free Wi-Fi. The friendly hotel staff will gladly help you with sightseeing advice and area information.Victor's Bar at Victors Residenz is an ideal place to relax with a refreshing drink after an exciting sightseeing trip, or a busy day at work. ","Holländerstr. 31, Reinickendorf, 13407 Berlin, Germany",7.6,1188,8.4,"Booking is safeManage your bookings onlineThe staff speaks English","Parking,Free WiFi,Pet friendly,Non-smoking rooms,24-hour front desk,Terrace,Bar,Sun deck,Terrace,Cycling,Snack bar,Bar,Accessible parking,Parking garage,Lockers,Baggage storage,Tour desk,Express check-in/out,24-hour front desk,Babysitting/Child services,Daily housekeeping,Ironing service,Dry cleaning,Laundry,Fax/Photocopying,Fire extinguishers,Smoke alarms,Key card access,Safe,Pet bowls,Vending machine (snacks),Vending machine (drinks),Smoke-free property,Heating,Packed lunches,Soundproof rooms,Elevator,Non-smoking rooms,German,English,French,Dutch,Russian,Turkish,",7.6,8.1,7.8,7.7,7.6,8.0,"2022-06-22 18:35:12"
